ASR,Attacks,Models
0.13665205930355853,Baseline,EEGNet
0.8371284415988292,NPP,EEGNet
0.12253758219272273,Baseline,EEGNet
0.8784785894612525,NPP,EEGNet
0.1339495189324211,Baseline,EEGNet
0.6394621079394335,NPP,EEGNet
0.08336717821922582,Baseline,EEGNet
0.8739845779172661,NPP,EEGNet
0.08138366389986333,Baseline,EEGNet
0.8806588681438305,NPP,EEGNet
0.08429775482755489,Baseline,EEGNet
0.47831301129954784,NPP,EEGNet
0.12332148606885904,Baseline,EEGNet
0.9117325656308407,NPP,EEGNet
0.0911594782592793,Baseline,EEGNet
0.638867229471263,NPP,EEGNet
0.14680381005411183,Baseline,EEGNet
0.6503615942802935,NPP,EEGNet
0.06538555559769497,Baseline,EEGNet
0.7555703608182107,NPP,EEGNet
0.22090635233687952,Baseline,DeepCNN
0.9528366023616026,NPP,DeepCNN
0.28412211589318126,Baseline,DeepCNN
0.9576447808809878,NPP,DeepCNN
0.13159248372079582,Baseline,DeepCNN
0.9443127473336649,NPP,DeepCNN
0.13074112011476294,Baseline,DeepCNN
0.9243307413546862,NPP,DeepCNN
0.18742759801887765,Baseline,DeepCNN
0.8700734904380462,NPP,DeepCNN
0.11924890274131326,Baseline,DeepCNN
0.9830705799022824,NPP,DeepCNN
0.2532443524806821,Baseline,DeepCNN
0.8909619680648347,NPP,DeepCNN
0.17069349046936258,Baseline,DeepCNN
0.9863888283753321,NPP,DeepCNN
0.20457207208118583,Baseline,DeepCNN
0.9598190744754095,NPP,DeepCNN
0.18777294088067809,Baseline,DeepCNN
0.9648818381383086,NPP,DeepCNN
0.03565959819011864,Baseline,xDAWN+LR
0.5658980866118158,NPP,xDAWN+LR
0.051419328766624514,Baseline,xDAWN+LR
0.741288365720998,NPP,xDAWN+LR
0.05294994123060635,Baseline,xDAWN+LR
0.5787193593380774,NPP,xDAWN+LR
0.029974135882948238,Baseline,xDAWN+LR
0.5297767288429047,NPP,xDAWN+LR
0.09740238353647299,Baseline,xDAWN+LR
0.5713869653818686,NPP,xDAWN+LR
0.03702682317773392,Baseline,xDAWN+LR
0.37951446374657144,NPP,xDAWN+LR
0.04974836820503094,Baseline,xDAWN+LR
0.29912807331558044,NPP,xDAWN+LR
0.07302366364967915,Baseline,xDAWN+LR
0.7481346613736014,NPP,xDAWN+LR
0.08942593211032417,Baseline,xDAWN+LR
0.6310833982234462,NPP,xDAWN+LR
0.04011048292159122,Baseline,xDAWN+LR
0.5610490561992176,NPP,xDAWN+LR
