ASR,Attacks,Models
0.028205009363663085,Baseline,EEGNet
0.8190192283960243,NPP,EEGNet
0.01403209879531055,Baseline,EEGNet
0.9062814311194878,NPP,EEGNet
0.04220641093091674,Baseline,EEGNet
0.8506235395251415,NPP,EEGNet
0.02015268385460693,Baseline,EEGNet
0.5737759004362235,NPP,EEGNet
0.03689246705441037,Baseline,EEGNet
0.8758745034359963,NPP,EEGNet
0.044754694443152325,Baseline,EEGNet
0.911266927162825,NPP,EEGNet
0.019871724099665287,Baseline,EEGNet
0.8467832320478759,NPP,EEGNet
0.017378917378917384,Baseline,EEGNet
0.8961988125499981,NPP,EEGNet
0.06601471217742044,Baseline,EEGNet
0.8715557539725096,NPP,EEGNet
0.08510425395145912,Baseline,EEGNet
0.6435594261934919,NPP,EEGNet
0.06318309899068764,Baseline,DeepCNN
0.8072971964295754,NPP,DeepCNN
0.11423560514518391,Baseline,DeepCNN
0.8220345947354374,NPP,DeepCNN
0.12485690375296572,Baseline,DeepCNN
0.864082551333621,NPP,DeepCNN
0.08052544761262936,Baseline,DeepCNN
0.8369331460943403,NPP,DeepCNN
0.07040872233179926,Baseline,DeepCNN
0.7507909325271889,NPP,DeepCNN
0.03379383929636504,Baseline,DeepCNN
0.8187503572703724,NPP,DeepCNN
0.025125053087009613,Baseline,DeepCNN
0.7704812832412118,NPP,DeepCNN
0.05964789596368544,Baseline,DeepCNN
0.4209778483795169,NPP,DeepCNN
0.12640448660482148,Baseline,DeepCNN
0.6164142079569215,NPP,DeepCNN
0.03424800394855955,Baseline,DeepCNN
0.8277513010505733,NPP,DeepCNN
0.0,Baseline,CSP+LR
0.6098365572049782,NPP,CSP+LR
0.01053740779768177,Baseline,CSP+LR
0.01767399267399267,NPP,CSP+LR
0.01012145748987854,Baseline,CSP+LR
0.33782051282051284,NPP,CSP+LR
0.009990009990009993,Baseline,CSP+LR
0.19165393430099312,NPP,CSP+LR
0.0,Baseline,CSP+LR
0.4126180836707153,NPP,CSP+LR
0.0,Baseline,CSP+LR
0.043642430628732,NPP,CSP+LR
0.01012145748987854,Baseline,CSP+LR
0.09916930222740562,NPP,CSP+LR
0.01012145748987854,Baseline,CSP+LR
0.29111944965603503,NPP,CSP+LR
0.01053740779768177,Baseline,CSP+LR
0.196693657219973,NPP,CSP+LR
0.01018099547511312,Baseline,CSP+LR
0.375,NPP,CSP+LR
