ASR,Attacks,Models
0.18130258312048841,Baseline,EEGNet
0.9860789259942216,NPP,EEGNet
0.1919336345395569,Baseline,EEGNet
0.9864193463074633,NPP,EEGNet
0.23145486494757161,Baseline,EEGNet
0.9885468828030218,NPP,EEGNet
0.2280627000694551,Baseline,EEGNet
0.9832772992674143,NPP,EEGNet
0.22781445677341974,Baseline,EEGNet
0.9781524313709663,NPP,EEGNet
0.0956951210071295,Baseline,EEGNet
0.9855849386454915,NPP,EEGNet
0.2644741020433613,Baseline,EEGNet
0.9866914912797505,NPP,EEGNet
0.2751466679422977,Baseline,EEGNet
0.9883735960123924,NPP,EEGNet
0.2339811409823475,Baseline,EEGNet
0.9883933701087148,NPP,EEGNet
0.2387826724522252,Baseline,EEGNet
0.9851822765968706,NPP,EEGNet
0.1770474407891021,Baseline,DeepCNN
0.9884054625901296,NPP,DeepCNN
0.07099185248575676,Baseline,DeepCNN
0.9896940970800587,NPP,DeepCNN
0.07843050934262108,Baseline,DeepCNN
0.9767754998197867,NPP,DeepCNN
0.0771255066017233,Baseline,DeepCNN
0.9891604442581327,NPP,DeepCNN
0.13132466525702416,Baseline,DeepCNN
0.9903395429151491,NPP,DeepCNN
0.06596008930052533,Baseline,DeepCNN
0.9813480186436511,NPP,DeepCNN
0.07198926817340116,Baseline,DeepCNN
0.9845482528428249,NPP,DeepCNN
0.11155463124910904,Baseline,DeepCNN
0.9891553201967653,NPP,DeepCNN
0.09552858708500546,Baseline,DeepCNN
0.9884695608863688,NPP,DeepCNN
0.1018774335824107,Baseline,DeepCNN
0.986847813655851,NPP,DeepCNN
0.07801505375946426,Baseline,xDAWN+LR
0.9981349565187606,NPP,xDAWN+LR
0.0461115416346743,Baseline,xDAWN+LR
0.9984060628112651,NPP,xDAWN+LR
0.20764915795169867,Baseline,xDAWN+LR
0.9965055067464456,NPP,xDAWN+LR
0.09229537862232881,Baseline,xDAWN+LR
0.9968262177194998,NPP,xDAWN+LR
0.10211169402890434,Baseline,xDAWN+LR
0.9966509316936767,NPP,xDAWN+LR
0.12921524594756434,Baseline,xDAWN+LR
0.9961727399893808,NPP,xDAWN+LR
0.043596035481861715,Baseline,xDAWN+LR
0.9979386484047524,NPP,xDAWN+LR
0.03718405876713487,Baseline,xDAWN+LR
0.9977712316277897,NPP,xDAWN+LR
0.1550655971747008,Baseline,xDAWN+LR
0.9968105729919204,NPP,xDAWN+LR
0.16724845860037715,Baseline,xDAWN+LR
0.9952706954333914,NPP,xDAWN+LR
